aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	global_signal
-0.0373452744	-0.0842342977	-0.1289117973	0.0441289816	-0.1031726252	25987.7617188
0.0531231624	0.0681228107	-0.1061077214	-0.1123350614	0.0692461524	26077.4765625
-0.0914049899	0.0219577083	-0.0717965781	-0.0022345684	-0.0109518338	26010.7421875
0.104382751	0.0131622806	-0.1032716509	-0.066314862	-0.0707163615	26093.7929688
-0.0964435334	0.0385442468	-0.0737721638	-0.0414001279	0.1109741977	26077.9433594
0.0983770009	0.0381978258	-0.0648205226	0.0185515329	-0.1078459226	26148.9902344
-0.1179868766	0.0268871609	-0.0486363442	-0.1197145054	0.042530606	26051.1464844
0.1057726564	0.0228624544	-0.097384217	0.0792566489	-0.0393594544	26132.2304688
-0.0466848252	0.0670511788	-0.0199270954	-0.0634137219	-0.1036955327	26060.2050781
0.0249671165	-0.1020022064	-0.1457717592	0.0684011647	0.0829497795	26062.4902344
0.0079042129	0.1087023515	-0.0014008595	0.0053034037	-0.1715393038	26143.8144531
-0.1349470804	-0.020629655	-0.0835015901	-0.1400328391	0.0209689302	26006.5097656
0.1348415235	0.0193894028	-0.0981648057	0.1001132501	0.0951267318	26150.1210938
-0.0480512826	0.0955875616	0.0017025523	-0.0185509093	-0.134632561	26115.9550781
0.0328910711	-0.0966387544	-0.1220530373	0.0258308429	0.0883981461	26088.5039062
0.0120083718	0.1002031622	-0.0037855102	0.0596186689	-0.1385113403	26150.5195312
-0.1090811179	-0.0739982424	-0.1046441734	-0.1424042373	0.0167178926	26062.1679688
0.1019760031	0.0558442906	-0.0496795209	0.1173952978	0.0251734509	26150.8789062
-0.0915367752	-0.0507890831	-0.0560524119	-0.1268270369	-0.0259983535	26060.7617188
0.0910998522	0.0738739488	-0.0317502476	0.0943487023	0.1540185147	26158.1503906
-0.0515930063	-0.0988256101	-0.0766539458	0.022000582	-0.0104882609	26110.1621094
0.0083380376	0.0986607179	0.0140800864	0.0517680162	0.0971022181	26141.8496094
0.052331535	-0.0884767632	-0.0667027706	0.0390165541	-0.0909287506	26136.96875
-0.1017559289	0.0329907597	-0.0081867196	-0.0632899038	0.1415205762	26098.0917969
0.1194391405	0.009754527	-0.026967377	0.1083227791	-0.0485960334	26157.328125
-0.0685125359	-0.0965576377	-0.0979785243	-0.0657329166	0.0734227663	26072.8691406
0.0663247271	0.0824143862	0.0181214911	0.1089841526	-0.0300629927	26155.6015625
-0.1357784689	-0.0440880917	-0.0208080126	-0.0900613853	-0.0197176706	26041.0507812
0.1552232011	0.0042667613	-0.0490973924	0.0745032364	0.1112074167	26209.7050781
-0.0384391098	0.0806827287	0.0555176939	-0.0133128238	-0.1172079151	26188.9179688
-0.0149333335	-0.1129179587	-0.0877556951	0.0239967316	0.1462860044	26115.7480469
0.0809087594	0.0768089595	0.0513548396	0.0706250438	-0.0760487195	26210.8613281
-0.1205307887	-0.041765817	-0.0003729451	-0.1465344685	-0.0267717259	26117.6582031
0.1224503555	0.0533742799	-0.009602076	0.0801741394	0.0810569454	26189.8496094
-0.0839017308	-0.0342309345	0.0101812196	-0.074424577	-0.0556686027	26095.0429688
0.0799604228	0.0744250576	0.020100708	0.0320799785	0.1083674369	26148.5664062
-0.0433319293	-0.0941725537	-0.0573132259	0.1008758136	-0.0468075772	26081.8613281
-0.0655493389	0.030256262	0.0436522057	-0.0613751791	0.0379778937	26046.9960938
0.1113733457	-0.0452547322	-0.0226999473	0.0894410096	0.0663381384	26177.0917969
-0.0851176574	0.0337238446	0.0637556071	-0.006040668	-0.0318465634	26116.3125
0.0695206684	0.0706622786	0.026831184	-0.0151210261	0.0842585542	26120.75
0.0390082762	-0.1173041979	-0.046713448	0.0734007859	-0.1214970875	26137.9042969
-0.1027790452	0.0598570067	0.0433374497	-0.1196175356	-0.062582786	26147.8164062
0.0859513571	-0.0027587281	-0.0281587907	0.0848321672	0.0507663187	26152.734375
-0.0496765258	-0.1063899457	-0.0136465265	0.0371495692	-0.0553630892	26114.9765625
0.0341321154	0.1122523004	0.0295912361	-0.0250142068	0.0950799304	26231.8320312
-0.1084449376	-0.0016561934	0.0575196376	0.024420739	-0.106067275	26095.5292969
0.1261999616	-0.0185531917	-0.0223341464	-0.1325264102	0.0822826892	26190.1933594
-0.0159495522	0.1162203743	0.0633967692	0.0288724658	-0.0782359787	26222.7617188
-0.086217387	-0.0719438975	-0.0100292599	-0.0913386223	-0.0252984139	26115.6679688
0.0841675292	0.0832806872	0.0453429982	0.0367973043	0.1168705234	26226.4980469
-0.0939516502	-0.0255921802	0.0550915815	-0.0522932528	-0.0966144256	26145.5429688
0.0106763331	0.0938314431	0.0633276232	0.0138044072	0.1325685281	26126.75
0.074409088	-0.065351711	0.0334144967	0.0146188135	-0.1224415276	26176.3222656
-0.1253980669	0.0022038597	0.0216547731	-0.0179726489	0.1203099535	26140.3574219
0.1263014256	0.0343736637	0.0298849289	-0.0287859957	-0.12898115	26207.0097656
-0.11813789	-0.0291648927	0.0006612142	-0.0696492077	0.0587927682	26118.2929688
0.0716024676	0.1198719573	0.0242066823	0.0647185865	-0.1239262891	26186.0371094
-0.0485220727	-0.1192163959	-0.0235862456	0.0011223956	-0.020289384	26104.6582031
0.0466637709	0.1038538042	0.1001033887	0.0897230223	-0.0280014181	26218.2480469
-0.1075808283	-0.0705492573	0.0276309563	-0.0745665768	-0.0490212261	26114.9804688
0.1132480066	0.0261149012	0.0128933741	-0.0166011559	0.1092783314	26212.6699219
-0.0509828972	0.1023466035	0.1226585343	0.0243364233	-0.1340644953	26180.5039062
0.0029675501	-0.1309025413	0.0006446144	-0.0332277109	0.0426512748	26120.8164062
-0.015398753	0.0891894958	0.0706031981	0.0773034966	-0.0118556762	26171.6132812
0.0459497555	-0.1209105909	0.0288988915	-0.0348131531	-0.1024190719	26149.0898438
-0.0077545607	0.1132679618	0.0533334286	-0.0067718817	0.0954633229	26234.9023438
0.0085602037	-0.1049453266	0.0180593826	0.0990335748	-0.0821682641	26145.96875
-0.1230356809	0.0416217922	0.0627735029	-0.045793632	0.0698332843	26113.0859375
0.1241219502	-0.0178070669	0.0549679285	0.0142928946	-0.0715153153	26250.2558594
-0.1453062102	0.004942285	0.0600385236	-0.1095974843	0.0075106543	26153.7050781
0.1178320054	0.0757843772	0.0713413216	0.067088668	-0.0347079336	26236.4394531
0.0043263389	-0.1237201578	0.0354784929	0.030371014	-0.0354903908	26142.3125
-0.1034001028	0.0191403916	0.071174428	0.0208868587	0.0859932044	26146.7558594
0.0930061052	0.0558851568	0.0750379929	-0.0394732007	-0.116757541	26198.0800781
-0.0064297129	-0.1372239991	0.009155483	0.1622971739	0.121220281	26113.7421875
-0.0961980172	0.0332495363	0.103421046	0.0177089137	-0.0365046354	26121.2871094
0.1039437651	0.0170558219	0.070900788	-0.0028872601	0.1062710457	26195.0371094
-0.0257514956	-0.1183749482	0.0466959196	0.1296865982	-0.0729382614	26162.9160156
-0.1203228384	0.0150315183	0.0649210522	-0.017169602	0.0796632192	26099.0546875
0.1442212127	0.0152643467	0.0517111905	0.0570091155	-0.0583232217	26274.2539062
-0.0728909158	-0.111287346	0.019470502	-0.0355482719	0.0737674059	26181.7988281
0.0139913293	0.0918580345	0.1237328293	0.0131383653	-0.0612168831	26203.6894531
0.0505173971	-0.115486931	0.0595748614	-0.098069502	-0.0236436968	26206.4277344
-0.1030529324	0.0515977106	0.1185043361	0.0476184152	0.0025463002	26178.75
0.0814092789	-0.0205857428	0.0713158084	-0.1419144188	-0.0435957115	26189.5078125
-0.0452535319	-0.1215134527	0.0463474702	0.1560623147	0.105897034	26155.5898438
0.0938347359	0.0405716665	0.1078601305	-0.0288435927	-0.1019858952	26239.0390625
-0.120336046	-0.013240763	0.1046726269	-0.0391312835	0.1338600825	26133.7890625
0.1107366517	-0.0710832257	0.0611324223	0.0041620347	-0.0795105802	26205.6503906
-0.1071031212	0.0060295669	0.1328710831	-0.0911975896	0.0779841904	26154.8457031
0.1054149031	-0.0981058381	0.0768184622	0.0474422916	6.10814e-05	26227.5019531
-0.0017055918	0.0495679293	0.1652378452	-0.1296593831	-0.0312285419	26252.3574219
-0.0172380008	-0.1368579939	0.0503941366	0.1278343365	0.1596723524	26182.7285156
-0.0002752423	0.0433346525	0.1663158583	0.0598976992	-0.0338717681	26164.8164062
0.039290183	-0.1803402919	0.0842098066	0.0714267256	0.1456042656	26175.84375
-0.0400645054	0.041643626	0.1783460814	0.0560902645	-0.0530837439	26188.0253906
0.0458983975	-0.1558058014	0.0856252685	-0.0506311204	0.0806308455	26182.640625
-0.0477552132	0.0510308785	0.175208169	0.0727302198	0.023105179	26176.5527344
0.0754141584	-0.1687891277	0.0789835243	-0.0689718101	0.0102258682	26205.2578125
-0.009336253	0.0636069539	0.1280950525	0.0895562304	0.0455678413	26244.4785156
0.0304903898	-0.1894626835	0.0699873296	-0.0103283902	0.013581172	26189.2050781
-0.056073047	0.049241406	0.1547727881	0.0416746897	0.1614588305	26243.6601562
0.0959963102	-0.1277981787	0.0875029998	0.013914477	-0.0610400633	26280.3828125
-0.0505357984	0.0636247667	0.1326412974	-0.0657167235	0.103952128	26269.9726562
0.0737902599	-0.1596698044	0.0570153292	0.0612918537	-0.0126517401	26247.7070312
-0.0238727307	0.0651148702	0.0621180821	-0.1487810057	-0.063755554	26292.9492188
-0.0733370333	0.0129925138	0.0126234025	0.0828995361	0.0448303529	26184.3613281
0.1330878982	-0.0700491894	0.0648203504	-0.1786949675	-0.0112985377	26338.953125
0.0447167264	0.0965520976	0.0302772926	-0.0196306936	0.1012532456	26397.8691406
-0.1240510992	0.0316711106	0.0567708177	0.0505383265	-0.0828474928	26174.0253906
0.1085441103	-0.1047793341	0.046268734	-0.0968555788	0.0555943896	26240.1289062
-0.0840519707	0.0357405676	0.1041274745	0.0692809194	-0.0487341827	26254.2832031
0.1171145589	-0.0717885	0.0615355328	-0.1760250273	-0.0436879703	26298.453125
-0.0930099093	0.0185609507	0.1199658386	0.0348851332	0.1228105639	26277.5566406
0.1243401811	0.0220397446	0.0159534916	-0.0124399692	-0.1115512881	26303.6308594
-0.0809305067	0.051306002	-0.2062230293	0.0114698299	0.0561191125	26275.0976562
-0.0741233705	0.033424592	-0.2057783773	0.0924427729	-0.075644528	26237.5722656
0.0768570611	0.1350498294	-0.1515605028	-0.1789623517	0.0147458485	26396.3554688
-0.0414069133	-0.0552460224	-0.1116732097	0.1321435144	0.0152767304	26297.0605469
0.0336161759	0.1573364793	-0.1091815258	-0.0129785533	-0.0814690952	26315.1445312
-0.0093777489	-0.0913284112	-0.1254057288	-0.0068415588	-0.0284923491	26260.4414062
-0.081952706	0.0774935248	-0.0857721514	0.105035043	-0.0516699527	26268.5078125
0.095775414	0.0328654189	-0.087327104	-0.21145572	-0.0198180904	26348.1015625
-0.1068543934	0.0041553689	-0.138717994	0.0694902739	0.0214436212	26279.9433594
-0.0018932835	0.1201337902	-0.1022517096	0.0342153557	-0.0648291612	26204.7304688
0.062952624	-0.0895642217	-0.0878022234	-0.0422703305	0.0703519868	26306.5253906
-0.0873213228	0.0950097055	-0.0777269403	0.0758055004	-0.0997554367	26280.5957031
0.0703807839	-0.0602981033	-0.0573098185	-0.1508231278	-0.04719412	26302.15625
-0.0467127102	0.146964721	-0.0978766408	0.0488133852	0.0511823649	26318.3378906
0.039214903	-0.1045941817	-0.0582381178	-0.0313907532	-0.1219462307	26279.2832031
-0.0248579318	0.1302842549	-0.1246028139	-0.0043334675	0.0926606295	26326.7851562
-0.0497767216	-0.0767745227	-0.0884858077	0.0322199607	-0.0944447646	26237.8339844
0.0714058689	0.0921114451	-0.1117589209	-0.1701979327	0.0520342985	26316.6914062
-0.0824748309	0.0714455632	-0.1320904749	0.0565585119	-0.0542421794	26239.4042969
0.0476931059	-0.1246253654	-0.0303847614	-0.1075033828	-0.1082478827	26237.8125
0.0156263648	0.1339614151	-0.1186530599	0.0321837153	0.0982068152	26389.0371094
-0.0743221169	-0.062355218	-0.093901041	0.0430534204	-0.1009319286	26277.0527344
0.093914859	0.0831374956	-0.0782010252	-0.0630825372	0.1097898566	26379.765625
-0.1113829218	-0.0027796982	-0.0631318742	0.1320224296	-0.095130574	26294.90625
0.1046162568	0.01949478	-0.0784151165	-0.1573890242	0.0548547737	26389.5
-0.1142354268	-0.0233082132	-0.1338727716	0.0941191571	-0.052848962	26317.7890625
0.092594028	0.1042281857	-0.0771155834	-0.1373596984	0.0078001258	26377.7910156
0.0025828487	-0.0784860435	-0.0423994644	0.1601445448	0.0180015485	26274.3925781
-0.1165485046	0.0113056575	-0.0447514955	0.1084042581	-0.0777386074	26290.7695312
0.0659572643	0.0854182585	-0.095619113	0.0414710963	0.1206719482	26337.0390625
