"subj","tp","Visual.Commet.Freeview","exclude"
"s109","bl","",0
"s110","bl","",0
"s115","bl","",0
"s12","bl","",0
"s127","bl","",0
"s130","bl","",0
"s132","bl","",0
"s136","bl","",0
"s14","bl","",0
"s143","bl","",0
"s144","bl","",0
"s146","bl","",0
"s149","bl","",0
"s16","bl","",0
"s162","bl","",0
"s164","bl","",0
"s167","bl","stripy pattern on FA image",NA
"s184","bl","",0
"s187","bl","",0
"s193","bl","",0
"s199","bl","",0
"s2","bl","",0
"s201","bl","",0
"s214","bl","",0
"s215","bl","",0
"s222","bl","",0
"s224","bl","",0
"s244","bl","",0
"s247","bl","",0
"s250","bl","",0
"s256","bl","",0
"s257","bl","",0
"s263","bl","",0
"s265","bl","",0
"s271","bl","stripy pattern on FA image",1
"s272","bl","",0
"s28","bl","",0
"s280","bl","",0
"s281","bl","",0
"s283","bl","",0
"s29","bl","",0
"s297","bl","",0
"s3","bl","",0
"s309","bl","",0
"s312","bl","",0
"s340","bl","",0
"s345","bl","",0
"s346","bl","",0
"s347","bl","",0
"s348","bl","",0
"s350","bl","",0
"s352","bl","",0
"s353","bl","stripy pattern on FA image",1
"s354","bl","",0
"s357","bl","",0
"s358","bl","",0
"s359","bl","",0
"s360","bl","",0
"s362","bl","",0
"s364","bl","",0
"s369","bl","",0
"s370","bl","",0
"s373","bl","",0
"s374","bl","",0
"s38","bl","",0
"s48","bl","",0
"s6","bl","",0
"s67","bl","stripy pattern, bad registration",1
"s7","bl","",0
"s376","fu","stripy pattern on FA image, no improvement when using slice2volume correction",1
"s234","bl","stripy pattern on FA image",1
"s271","fu","",NA
"s139","fu","tiny stripes, but ok",0
"s169","fu","tiny stripes, but ok",1
"s152","bl","",0
"s220","bl","tiny stripes, but ok",0
"s167","fu","",NA
"s135","bl","",0
"s158","bl","tiny stripes, but ok",0
"s260","bl","",0
"s285","fu","",0
"s132","fu","",NA
"s327","bl","",0
"s341","fu","stripy pattern on FA image",1
"s376","bl","stripy pattern on FA image",1
"s238","fu","",0
"s274","bl","tiny stripes, but ok",0
"s152","fu","",0
"s226","fu","",0
"s269","fu","",0
"s90","fu","",0
"s56","bl","",0
"s281","fu","",NA
"s322","fu","",0
"s143","fu","",NA
"s117","fu","",0
"s249","bl","",0
"s221","bl","",0
"s12","fu","",NA
"s163","bl","",0
"s300","bl","",0
"s24","bl","",0
"s56","fu","tiny stripes, but ok",0
"s31","fu","",0
"s220","fu","",NA
"s1","bl","",0
"s1","fu","",0
"s98","fu","",0
"s35","fu","tiny stripes, but ok",0
"s285","bl","",0
"s54","fu","",0
"s118","fu","",0
"s187","fu","",NA
"s100","fu","",0
"s261","bl","",0
"s263","fu","",NA
"s125","bl","stripy pattern, bad registration, slice2volume correction brought improvement",1
"s217","bl","",0
"s235","bl","",0
"s178","bl","",0
"s182","fu","",0
"s7","fu","",NA
"s231","bl","",0
"s316","bl","",0
"s229","fu","",0
"s342","bl","",0
"s16","fu","",NA
"s259","fu","",0
"s70","bl","",0
"s173","fu","",0
"s37","bl","",0
"s92","fu","",0
"s170","fu","",0
"s135","fu","",0
"s154","fu","",0
"s144","fu","",NA
"s67","fu","",NA
"s205","bl","",0
"s139","bl","",0
"s88","fu","",0
"s252","fu","",0
"s340","fu","",NA
"s48","fu","",NA
"s39","bl","",0
"s50","bl","",0
"s9","bl","stripy pattern, bad registraion",1
"s243","fu","",0
"s215","fu","",NA
"s162","fu","",NA
"s117","bl","",0
"s61","bl","",0
"s201","fu","",NA
"s199","fu","",NA
"s108","fu","",0
"s356","fu","",0
"s227","bl","",0
"s100","bl","",0
"s272","fu","",NA
"s322","bl","",0
"s165","fu","",0
"s31","bl","",0
"s249","fu","stripy pattern on FA image",1
"s157","bl","",0
"s349","bl","",0
"s49","bl","tiny stripes, but ok",0
"s61","fu","",0
"s118","bl","",0
"s239","fu","",0
"s222","fu","",NA
"s35","bl","",0
"s225","bl","",0
"s114","bl","tiny stripes, but ok",0
"s177","bl","tiny stripes, but ok",0
"s332","fu","",0
"s145","bl","",0
"s204","bl","",0
"s112","fu","",0
"s213","bl","",0
"s11","fu","",0
"s66","fu","",0
"s2","fu","",NA
"s218","fu","",0
"s302","bl","",0
"s21","fu","",0
"s325","bl","",0
"s60","bl","",0
"s122","bl","",0
"s300","fu","",0
"s148","fu","",0
"s170","bl","",0
"s230","bl","",0
"s114","fu","",0
"s104","fu","",0
"s15","fu","",0
"s109","fu","",NA
"s5","bl","",0
"s55","bl","",0
"s274","fu","",0
"s136","fu","",NA
"s283","fu","",NA
"s9","fu","",1
"s236","bl","",0
"s244","fu","",NA
"s275","fu","",0
"s155","fu","",0
"s262","fu","",0
"s82","fu","ok",0
"s227","fu","",0
"s252","bl","tiny stripes, but ok",0
"s19","bl","",0
"s37","fu","tiny stripes, but ok",0
"s91","fu","",0
"s98","bl","",0
"s101","bl","",0
"s10","fu","",0
"s126","bl","",0
"s131","fu","",0
"s89","fu","",0
"s159","fu","",0
"s317","fu","",0
"s92","bl","",0
"s302","fu","",0
"s3","fu","",NA
"s224","fu","",NA
"s149","fu","",NA
"s301","bl","",0
